Timestamp,User ID,How did you like the visualization of the PyCodeViz interface?,"According to you, PyCodeViz has shown detailed information related to each execution step satisfactorily.",PyCodeViz has helped me to comprehend the code in a detailed manner.,"PyCodeViz has helped me to understand the execution of programming constructs such as iterative, conditional statements and recursive function, which helped in getting better insights about the logic of the program. ",Does PyCodeViz shows the explicit changes in the values of different variables?,I will recommend PyCodeViz to my peers.,Please suggest how we can improve the PyCodeViz?
11/23/2021 19:55:03,1,3,4,3,4,5,4,"1.The ui format can be more descriptive of what each section is trying to show.
2.the iterative steps if beyond a limit should be compressed so its easier to navigate and understand
3.the ui colors for variables and other lines that are highlighted should be brighter "
11/23/2021 19:59:50,2,3,4,4,4,4,4,No suggestions 
11/23/2021 20:01:40,3,4,4,3,5,5,4,UI can be improved a bit. Recursive extension is good. Will recommend to peers.
11/23/2021 20:01:50,4,4,5,3,4,5,4,
11/23/2021 20:08:03,5,3,4,4,5,3,3,
11/23/2021 20:08:03,6,5,5,5,5,5,5,
11/23/2021 20:11:02,7,4,5,4,5,4,5,
11/23/2021 20:17:47,8,4,4,3,4,2,5,Adding more python libraries to the visualizer and supporting more number of lines .
11/23/2021 21:26:24,9,4,5,5,4,4,5,
11/23/2021 21:46:10,10,5,4,5,4,5,5,"To further improve user's experience, file upload option can be provided where user can directly upload his code and need not copy paste the code."
11/23/2021 21:53:14,11,3,4,4,5,4,3,Try to add advance python functionalities.
,,,,,,,,
,Average:,76.36,87.27,78.18,89.09,83.64,85.45,
